t,controller,trajectory,run_id,odom_x,odom_y,odom_yaw,odom_v,odom_w,desired_x,desired_y,desired_yaw,error_ex,error_ey,error_etheta,cmd_v,cmd_w
30.16,Backstepping,circle,sim,-0.47931462136360176,0.11948883863348242,-0.495970206747722,0.20117374712683078,0.20103308634526768,-0.48046540648675706,0.12298632099064999,-0.5011853071795865,0.0013368066128947316,0.002517638283168035,-0.001194438704959222,0.20106930262195075,0.20025291563916478
30.18,Backstepping,circle,sim,-0.47577645842145533,0.11757440417468518,-0.4919496539079638,0.2011445767489688,0.20102764198791034,-0.47695351740739744,0.12107148058974015,-0.497185307179586,0.0013234525905324174,0.002515559717900572,-0.001215100431863958,0.20105861442553818,0.20023538855830886
30.2,Backstepping,circle,sim,-0.47223009070136646,0.11567392311561896,-0.4879294890916823,0.20117500007429845,0.2010082408140726,-0.47343399708193507,0.11917070302639099,-0.4931853071795865,0.0013106731815103949,0.002513450011910677,-0.0012356532716226718,0.20104838586132698,0.20021793363997145
30.22,Backstepping,circle,sim,-0.4686758556628201,0.11378757862400932,-0.4839066399700616,0.20118947692571157,0.20114245608103667,-0.4699069018226185,0.11728401871300187,-0.48918530717958597,0.0012972756907276978,0.002511312441990626,-0.0012558180879036485,0.20103766284469593,0.2002007757659025
30.240000000000002,Backstepping,circle,sim,-0.4651152615732903,0.11191617855322525,-0.47988235701913534,0.20112165780520216,0.20121414754631495,-0.4663722880628975,0.11541145783648221,-0.4851853071795856,0.001283586652052922,0.0025091458089928553,-0.0012786672095239648,0.20102670582268137,0.2001814564994451
30.26,Backstepping,circle,sim,-0.4615446953385613,0.11005783691996474,-0.4758582582465199,0.2012608808393738,0.2012049386307711,-0.4628302123565175,0.1135530503577662,-0.48118530717958596,0.0012712486733818247,0.0025069355871262617,-0.0013029501604506222,0.20101682917081745,0.20016096924839227
30.28,Backstepping,circle,sim,-0.45796619661673016,0.10821362955022716,-0.471833202878672,0.20128806425581747,0.20125276839239492,-0.45928073137661274,0.11170882601133336,-0.47718530717958557,0.0012561166786371465,0.0025046893401117812,-0.0013270489330656776,0.2010047172370485,0.2001406120484026
30.3,Backstepping,circle,sim,-0.45437853245569315,0.10638293683108609,-0.4678104241576706,0.20138749939051367,0.2011389360500682,-0.4557239019148047,0.10987881430473445,-0.473185307179586,0.0012404341753089088,0.0025024086104495627,-0.0013521043009140368,0.20099216452167093,0.20011947302187097
30.32,Backstepping,circle,sim,-0.45078324254264956,0.10456654458634644,-0.46378796769906466,0.20140376328152046,0.20112282293029826,-0.4521597808802882,0.10806304451811743,-0.46918530717958645,0.0012227479033416339,0.002500101589587407,-0.0013748830219158514,0.20097800929237072,0.2001001426919954
30.34,Backstepping,circle,sim,-0.4471800525066018,0.10276431735012095,-0.45976524281556536,0.20143858522429883,0.20113624417496664,-0.4485884252989228,0.10626154570375979,-0.465185307179586,0.0012047261052054122,0.0024977763176132267,-0.0013973394805213424,0.20096358562843372,0.20008106141182203
30.36,Backstepping,circle,sim,-0.44356900709907776,0.10097628503292193,-0.45574323752353596,0.2014739964768951,0.20110026460147082,-0.44500989231232335,0.10447434668560474,-0.4611853071795864,0.0011859990300250587,0.0024954362139364412,-0.0014200643640210342,0.20094859756577416,0.20006175827329628
30.38,Backstepping,circle,sim,-0.4399506679481344,0.09920272632929321,-0.45172225010587114,0.20148131852895454,0.2010493708832404,-0.4414242391769396,0.10270147605879787,-0.45718530717958594,0.0011665523675634991,0.002493084252352417,-0.0014420696560499824,0.20093303393759757,0.20004302511613947
30.400000000000002,Backstepping,circle,sim,-0.43632559470989335,0.09744390981525039,-0.44770128607606824,0.20146086166226798,0.2010482014901455,-0.4378315232631461,0.10094296218923182,-0.45318530717958555,0.0011469471237717664,0.0024907242600099556,-0.0014630570737144135,0.2009173436454555,0.20002510240339672
30.42,Backstepping,circle,sim,-0.4326933772990982,0.09569963509447826,-0.4436820071986575,0.20146648369398998,0.20096394387053443,-0.4342318020543216,0.09919883321309109,-0.44918530717958594,0.0011277413332233773,0.0024883575511076544,-0.0014840211035176964,0.20090197283475555,0.20000719517748913
30.44,Backstepping,circle,sim,-0.42905282302899006,0.09396932907207682,-0.4396624973060576,0.20154152379076393,0.20097549462999922,-0.43062513314592704,0.0974691170364016,-0.44518530717958554,0.0011084092594861976,0.0024859865513322146,-0.001503299980928019,0.20088650141654826,0.19999063401287354
30.46,Backstepping,circle,sim,-0.42540631219289055,0.09225412601331504,-0.43564083027405054,0.20148798233751328,0.20108335160035445,-0.4270115742445896,0.09575384133458587,-0.441185307179586,0.001087567325255285,0.0024836219373927807,-0.0015228098735283746,0.20086982196525793,0.19997389110196842
30.48,Backstepping,circle,sim,-0.4217532577323909,0.09055375304180317,-0.43161832311976517,0.20147006684383859,0.20112535771426718,-0.4233911831671738,0.09405303355201822,-0.43718530717958637,0.0010677919519806504,0.0024812564700922588,-0.0015444769055358298,0.20085399502074078,0.19995542207244343
