t,controller,trajectory,run_id,odom_x,odom_y,odom_yaw,odom_v,odom_w,desired_x,desired_y,desired_yaw,error_ex,error_ey,error_etheta,cmd_v,cmd_w
74.24,BSMC,circle,sim,0.8965018266448391,1.4480317080599021,2.037321507283939,0.19993827385697663,0.1990510333999878,0.8956823517462682,1.4446944172915535,2.031629385640826,0.0013778281174683293,0.002222551717862369,-0.0017111009751129558,0.20110541427768508,0.1997000757572283
74.26,BSMC,circle,sim,0.894702517880099,1.4516045854584698,2.0413018592967385,0.2000185299920105,0.199017600639994,0.8938964133712438,1.448273579594009,2.035629385640829,0.001387901480112636,0.002218199640866212,-0.0016921216431096118,0.2011135046102932,0.19971323115078676
74.28,BSMC,circle,sim,0.8928891888832547,1.4551699054356935,2.0452814931909034,0.19999792868168434,0.1989816947082444,0.8920961726726769,1.4518455695287509,2.0396293856408287,0.0013963511265308996,0.0022138907366483127,-0.001672473655909723,0.2011202920622933,0.19972694515712508
74.3,BSMC,circle,sim,0.8910607757526138,1.4587297522789073,2.049261560727194,0.20009750200490245,0.19900337681453326,0.8902816584543795,1.4554103299440182,2.0436293856408265,0.001405194279125678,0.0022096261945465405,-0.0016521075500768312,0.20112739546312475,0.19974125812892082
74.32000000000001,BSMC,circle,sim,0.8892181157251368,1.4622824730171926,2.0532412558703297,0.20010759993753727,0.1989847571567881,0.888452899748537,1.4589678038037266,2.0476293856408296,0.0014120301927809335,0.0022054152705971546,-0.0016321750863643734,0.2011328878302146,0.19975524834131034
74.34,BSMC,circle,sim,0.8873611049425474,1.4658282651620922,2.057222071465258,0.20013202505773647,0.19904077974641157,0.8866099258152538,1.4625179341883623,2.051629385640829,0.0014186468045825457,0.002201258234054275,-0.0016118702295004894,0.20113820424817008,0.19976956411047675
74.36,BSMC,circle,sim,0.8854904202884246,1.4693658302382833,2.061203972735475,0.20008640473215883,0.19909506351086265,0.8847527661420727,1.4660606642959162,2.055629385640827,0.0014247610760926047,0.0021971564649600037,-0.0015926858244310615,0.20114311709880442,0.19978300560998258
74.38,BSMC,circle,sim,0.8836057727571214,1.4728957152090294,2.0651844107024284,0.20007488737936696,0.1990218983476716,0.8828814504435073,1.4695959374427858,2.0596293856408265,0.001431774026052201,0.002193101939166111,-0.0015745870946486384,0.20114875072350627,0.1997955969207879
74.4,BSMC,circle,sim,0.8817069016053437,1.4764184194675511,2.069163241975365,0.20009470847614005,0.1989415636468337,0.8809960086605678,1.4731236970646775,2.0636293856408296,0.0014389981757899563,0.002189093103602022,-0.0015550250615987693,0.20115455422582595,0.19980938709198634
74.42,BSMC,circle,sim,0.8797936415529735,1.4799342530579256,2.0731401040937554,0.20013526590284947,0.19884310591950113,0.8790964709602869,1.4766438867175047,2.0676293856408274,0.0014458066591811157,0.002185137693080464,-0.0015338563345377307,0.2011600245725135,0.19982449517853929
74.44,BSMC,circle,sim,0.8778660285547994,1.4834431529744676,2.077117117241625,0.20017536371290887,0.1988506573934806,0.8771828677352238,1.4801564500783144,2.071629385640827,0.0014517842118225927,0.002181245984665518,-0.0015107184529283837,0.20116482860300663,0.19984121763472798
74.46000000000001,BSMC,circle,sim,0.8759244519101131,1.486944402274162,2.0810923457910366,0.2001778367215109,0.19876142747058212,0.8752552296029885,1.4836613309461693,2.07562938564083,0.0014569449432984905,0.002177426055302423,-0.0014877316007950727,0.20116897698250627,0.19985785339185136
74.48,BSMC,circle,sim,0.873968732620146,1.4904383340490914,2.085067761986908,0.20020238003711838,0.19877080979356376,0.8733135874057542,1.4871584732430425,2.079629385640828,0.001462037422792251,0.0021736803845538413,-0.0014629601502087475,0.20117307100658885,0.19987596021620913
74.5,BSMC,circle,sim,0.8719990094484238,1.493924692718796,2.0890459802673664,0.20021554726745602,0.19891091402292213,0.8713579722097512,1.490647821014738,2.0836293856408274,0.0014666248588568517,0.002170015260924119,-0.0014383763460803498,0.201176759556617,0.1998939551406438
74.52,BSMC,circle,sim,0.8700142624586948,1.4974052395044983,2.0930239776717663,0.20033363759427522,0.19889987022000113,0.8693884153047818,1.4941293184317646,2.087629385640827,0.0014709407532144632,0.0021664271891200164,-0.0014165946265394247,0.2011802292804546,0.1999097340309218
