Time,Odom_X,Odom_Y,Odom_Yaw(deg),Cam_X,Cam_Y,Cam_Yaw(deg),Diff_X,Diff_Y,Diff_Yaw
8.13,0.000,0.000,0.0,-1.111,1.159,2.7,-1.111,1.159,2.7
8.19,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.23,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.28,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.33,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.38,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.43,0.000,0.000,0.0,-1.111,1.159,2.6,-1.111,1.159,2.6
8.48,0.000,-0.000,-0.0,-1.111,1.159,2.6,-1.111,1.159,2.7
8.53,0.000,-0.000,-0.1,-1.111,1.159,2.6,-1.111,1.159,2.8
8.58,0.000,-0.000,-0.3,-1.111,1.159,2.6,-1.111,1.159,3.0
8.63,0.001,-0.000,-0.5,-1.111,1.159,2.6,-1.111,1.159,3.2
8.68,0.001,-0.000,-0.7,-1.111,1.159,2.6,-1.112,1.159,3.4
8.73,0.001,-0.000,-0.9,-1.111,1.159,2.6,-1.112,1.159,3.5
8.78,0.002,-0.000,-1.3,-1.111,1.159,2.6,-1.112,1.159,3.9
8.83,0.003,-0.000,-2.2,-1.111,1.159,2.6,-1.114,1.159,4.8
8.88,0.005,-0.000,-3.2,-1.110,1.159,2.7,-1.115,1.159,5.9
8.93,0.007,-0.000,-4.7,-1.109,1.160,2.9,-1.116,1.160,7.5
8.98,0.009,-0.000,-5.9,-1.109,1.160,2.8,-1.118,1.160,8.7
9.04,0.011,-0.001,-7.7,-1.108,1.160,2.8,-1.120,1.161,10.4
9.08,0.014,-0.001,-9.2,-1.107,1.159,2.7,-1.121,1.161,11.9
9.13,0.016,-0.002,-11.1,-1.105,1.160,2.5,-1.121,1.161,13.6
9.18,0.019,-0.002,-13.0,-1.103,1.159,2.4,-1.122,1.162,15.4
9.24,0.023,-0.003,-15.8,-1.100,1.160,2.4,-1.123,1.163,18.2
9.28,0.026,-0.004,-17.5,-1.096,1.160,2.1,-1.122,1.163,19.6
9.33,0.029,-0.005,-19.7,-1.092,1.159,1.9,-1.120,1.164,21.7
9.38,0.032,-0.006,-22.2,-1.082,1.158,1.0,-1.114,1.164,23.2
9.43,0.035,-0.008,-24.7,-1.077,1.158,0.6,-1.113,1.166,25.2
9.48,0.039,-0.009,-27.3,-1.072,1.157,0.6,-1.111,1.167,28.0
9.53,0.043,-0.011,-30.1,-1.061,1.157,0.9,-1.104,1.168,30.9
9.58,0.047,-0.014,-33.2,-1.055,1.157,1.1,-1.102,1.171,34.4
9.63,0.050,-0.016,-36.2,-1.050,1.157,1.1,-1.100,1.174,37.3
9.70,0.055,-0.020,-40.2,-1.043,1.157,1.2,-1.098,1.177,41.4
9.73,0.057,-0.022,-42.4,-1.031,1.158,1.4,-1.088,1.180,43.8
9.79,0.061,-0.026,-45.8,-1.025,1.158,1.7,-1.086,1.184,47.6
9.83,0.064,-0.029,-48.5,-1.018,1.158,1.7,-1.081,1.187,50.2
9.89,0.067,-0.033,-52.1,-1.010,1.158,1.8,-1.077,1.191,53.9
9.93,0.069,-0.036,-54.4,-1.002,1.159,2.0,-1.071,1.194,56.4
9.98,0.071,-0.039,-57.1,-0.985,1.158,2.0,-1.056,1.197,59.1
10.03,0.073,-0.042,-59.7,-0.976,1.159,2.1,-1.049,1.201,61.8
10.09,0.075,-0.045,-62.3,-0.966,1.159,2.1,-1.042,1.205,64.4
10.13,0.077,-0.048,-64.6,-0.948,1.160,2.2,-1.025,1.208,66.7
10.18,0.078,-0.052,-67.0,-0.940,1.160,2.2,-1.018,1.211,69.1
10.23,0.079,-0.055,-69.1,-0.931,1.160,2.2,-1.011,1.215,71.3
